sample_id,stem_id,species,water mas,CPg,wc,NF,NSlf,SL,STm,Pbr,Sbr,P:S,SD.PL,SD.SL,SD.P:S,Pendent 1,Pendent 2,Pendent 3,Pendent 4,Pendent 5,Pendent 6,Pendent 7,Pendent 8,Pendent 9,Pendent 10,Spreading 1,Spreading 2,Spreading 3,Spreading 4,Spreading 5,Spreading 6,Spreading 7,Spreading 8,Spreading 9,Spreading 10,P:S1,P:S2,P:S3,P:S4,P:S5,P:S6,P:S7,P:S8,P:S9,P:S10
s1.29.06.cu.3,s1.29.06.cu.3.1,S.cuspidatum,0.2995,0.0262,11.4313,34,90,3.88,0.0274,1.0742,1.172,0.914910066,0.16327878,0.158516876,0.045821758,1.141,0.884,1.162,0.787,1.002,1.108,0.992,1.131,1.118,1.417,1.141,1.034,1.246,0.937,1.086,1.155,1.086,1.295,1.194,1.546,1,0.854932302,0.93258427,0.839914621,0.922651934,0.959307359,0.913443831,0.873359073,0.936348409,0.916558862
s1.29.06.cu.3,s1.29.06.cu.3.2,S.cuspidatum,0.2946,0.0261,11.2874,34,92,4.13,0.0239,0.9463,1.0896,0.871010934,0.153517458,0.141071046,0.108284575,0.853,0.855,1.013,1.097,1.125,0.863,0.895,0.916,0.651,1.195,0.905,1.135,1.194,1.236,1.086,0.916,1.291,1.085,0.864,1.184,0.942541436,0.753303965,0.84840871,0.887540453,1.035911602,0.942139738,0.693261038,0.844239631,0.753472222,1.009290541
s1.29.06.cu.3,s1.29.06.cu.3.3,S.cuspidatum,0.2291,0.0193,11.8705,30,87,3.85,0.0165,0.8733,0.9953,0.883413925,0.079906258,0.121824505,0.079649036,0.926,0.885,0.926,0.895,0.795,0.853,0.821,0.811,0.766,1.055,0.945,1.034,0.968,0.981,0.995,0.831,1.055,0.916,0.916,1.312,0.97989418,0.85589942,0.95661157,0.912334353,0.798994975,1.026474128,0.778199052,0.885371179,0.836244541,0.804115854
s1.29.06.cu.3,s1.29.06.cu.3.4,S.cuspidatum,0.1467,0.0186,7.8871,22,73,3.13,0.0102,0.819,1.0446,0.796768894,0.087227289,0.167138984,0.10075488,0.787,0.821,0.937,0.905,0.795,0.645,0.884,0.756,0.915,0.745,1.194,1.195,1.141,0.926,0.937,0.724,1.185,1.097,1.215,0.832,0.659128978,0.687029289,0.821209465,0.977321814,0.848452508,0.890883978,0.745991561,0.689152233,0.75308642,0.895432692
s1.29.06.cu.3,s1.29.06.cu.3.5,S.cuspidatum,0.2784,0.0224,12.4286,29,78,3.48,0.0152,0.8221,0.9316,0.882750983,0.075983485,0.070427551,0.052281438,0.798,0.735,0.955,0.787,0.885,0.874,0.705,0.863,0.874,0.745,0.855,0.875,1.076,0.821,0.992,0.968,0.895,0.947,0.961,0.926,0.933333333,0.84,0.887546468,0.958587089,0.892137097,0.902892562,0.787709497,0.911298838,0.909469303,0.804535637
s1.29.06.cu.4,s1.29.06.cu.4.1,S.cuspidatum,0.3679,0.031,11.8677,35,137,6.65,0.0174,0.8271,0.9419,0.877286569,0.118192597,0.113635778,0.053236585,0.947,0.745,0.665,0.947,0.766,0.703,0.926,0.724,1.023,0.825,1.045,0.785,0.863,1.013,0.874,0.863,1.055,0.798,1.131,0.992,0.906220096,0.949044586,0.770567787,0.934846989,0.876430206,0.814600232,0.877725118,0.90726817,0.904509284,0.831653226
s1.29.06.cu.4,s1.29.06.cu.4.2,S.cuspidatum,0.2363,0.0162,14.5864,58,196,6.41,0.021,0.888,1.0118,0.879554672,0.168387648,0.165159801,0.094666541,0.795,0.821,0.795,0.895,1.002,1.265,0.735,0.665,0.842,1.065,0.832,0.968,0.8,0.935,1.175,1.288,0.968,0.958,0.916,1.278,0.955528846,0.848140496,0.99375,0.957219251,0.852765957,0.982142857,0.759297521,0.694154489,0.919213974,0.833333333
s1.29.06.cu.4,s1.29.06.cu.4.3,S.cuspidatum,0.3949,0.0258,15.3062,34,119,3.13,0.015,0.9137,1.1474,0.796972658,0.119256069,0.107675624,0.078900458,0.855,0.906,0.808,1.097,0.725,1.118,0.965,0.805,0.9,0.958,1.195,1.125,1.173,1.333,1.055,1.301,1.005,0.992,1.12,1.175,0.715481172,0.805333333,0.688832055,0.822955739,0.687203791,0.85933897,0.960199005,0.811491935,0.803571429,0.815319149
s1.29.06.cu.4,s1.29.06.cu.4.4,S.cuspidatum,0.1712,0.0105,16.3048,26,114,4.3,0.008,0.6758,0.8978,0.759334224,0.125791733,0.133430731,0.130289364,0.682,0.545,0.645,0.821,0.855,0.395,0.695,0.724,0.745,0.651,0.926,0.787,0.811,1.105,1.125,0.916,0.777,0.825,0.992,0.714,0.73650108,0.692503177,0.795314427,0.742986425,0.76,0.431222707,0.894465894,0.877575758,0.751008065,0.911764706
s1.29.06.cu.4,s1.29.06.cu.4.5,S.cuspidatum,0.2134,0.015,14.2267,43,156,6.05,0.0101,0.7585,0.9022,0.841748528,0.102470728,0.092453015,0.083508199,0.637,0.905,0.756,0.926,0.672,0.835,0.766,0.645,0.798,0.645,0.798,0.916,0.798,1.065,0.766,0.971,0.916,0.853,1.002,0.937,0.798245614,0.987991266,0.947368421,0.869483568,0.877284595,0.859938208,0.836244541,0.756154748,0.796407186,0.688367129
s1.29.06.cu.5,s1.29.06.cu.5.1,S.cuspidatum,0.0774,0.0065,11.9077,32,113,5.63,0.0074,0.6029,0.7507,0.805887314,0.088330572,0.036036232,0.129195146,0.596,0.724,0.675,0.693,0.615,0.446,0.595,0.555,0.465,0.665,0.8,0.766,0.767,0.7,0.798,0.777,0.724,0.695,0.756,0.724,0.745,0.945169713,0.880052151,0.99,0.770676692,0.574002574,0.821823204,0.798561151,0.615079365,0.918508287
s1.29.06.cu.5,s1.29.06.cu.5.2,S.cuspidatum,0.1204,0.01,12.04,27,96,6.03,0.0123,0.7239,0.8998,0.809638399,0.096839506,0.119218119,0.092145721,0.805,0.638,0.926,0.617,0.627,0.627,0.787,0.734,0.693,0.785,1.115,0.905,1.065,0.811,0.875,0.695,0.947,0.915,0.895,0.775,0.721973094,0.704972376,0.869483568,0.760789149,0.716571429,0.902158273,0.831045407,0.802185792,0.774301676,1.012903226
s1.29.06.cu.5,s1.29.06.cu.5.3,S.cuspidatum,0.2051,0.0209,9.8134,33,128,7.36,0.0228,0.8844,1.0226,0.868710197,0.087621002,0.101593504,0.081225238,0.895,0.745,0.776,0.874,1.086,0.863,0.9,0.884,0.874,0.947,1.155,0.937,1.055,1.086,1.225,0.927,1.025,0.915,0.926,0.975,0.774891775,0.795090715,0.735545024,0.804788214,0.886530612,0.930960086,0.87804878,0.966120219,0.943844492,0.971282051
s1.29.06.cu.5,s1.29.06.cu.5.4,S.cuspidatum,0.1639,0.0177,9.2599,23,109,5.89,0.0123,0.7405,0.8517,0.871837885,0.098022701,0.117138422,0.054205147,0.606,0.682,0.606,0.734,0.672,0.756,0.925,0.853,0.805,0.766,0.724,0.884,0.672,0.865,0.745,0.765,1.045,0.981,0.971,0.865,0.837016575,0.771493213,0.901785714,0.848554913,0.902013423,0.988235294,0.885167464,0.869520897,0.829042225,0.885549133
