variable,x,y
ann.wb 10,-206.33718719482422,0.146927347779274
ann.wb 10,-205.2444370300293,0.146927347779274
ann.wb 10,-204.15168686523438,0.146927347779274
ann.wb 10,-203.05893670043946,0.146927347779274
ann.wb 10,-201.96618653564454,0.146927347779274
ann.wb 10,-200.87343637084962,0.146927347779274
ann.wb 10,-199.7806862060547,0.146927347779274
ann.wb 10,-198.68793604125977,0.146927347779274
ann.wb 10,-197.59518587646485,0.146927347779274
ann.wb 10,-196.50243571166993,0.146927347779274
ann.wb 10,-195.409685546875,0.146927347779274
ann.wb 10,-194.3169353820801,0.146927347779274
ann.wb 10,-193.22418521728517,0.146927347779274
ann.wb 10,-192.13143505249025,0.146927347779274
ann.wb 10,-191.03868488769533,0.146927347779274
ann.wb 10,-189.9459347229004,0.146927347779274
ann.wb 10,-188.85318455810548,0.146927347779274
ann.wb 10,-187.76043439331056,0.146927347779274
ann.wb 10,-186.66768422851564,0.146927347779274
ann.wb 10,-185.57493406372072,0.146927347779274
ann.wb 10,-184.4821838989258,0.146927347779274
ann.wb 10,-183.38943373413088,0.146927347779274
ann.wb 10,-182.29668356933595,0.146927347779274
ann.wb 10,-181.20393340454103,0.146927347779274
ann.wb 10,-180.1111832397461,0.146927347779274
ann.wb 10,-179.0184330749512,0.146927347779274
ann.wb 10,-177.92568291015627,0.146927347779274
ann.wb 10,-176.83293274536135,0.146927347779274
ann.wb 10,-175.74018258056643,0.146927347779274
ann.wb 10,-174.6474324157715,0.146927347779274
ann.wb 10,-173.55468225097655,0.146927347779274
ann.wb 10,-172.46193208618166,0.146927347779274
ann.wb 10,-171.3691819213867,0.146927347779274
ann.wb 10,-170.2764317565918,0.146927347779274
ann.wb 10,-169.18368159179687,0.146927347779274
ann.wb 10,-168.09093142700198,0.146927347779274
ann.wb 10,-166.99818126220703,0.146927347779274
ann.wb 10,-165.90543109741213,0.146927347779274
ann.wb 10,-164.81268093261718,0.146927347779274
ann.wb 10,-163.7199307678223,0.146927347779274
ann.wb 10,-162.62718060302734,0.146927347779274
ann.wb 10,-161.53443043823245,0.146927347779274
ann.wb 10,-160.4416802734375,0.146927347779274
ann.wb 10,-159.34893010864258,0.146927347779274
ann.wb 10,-158.25617994384766,0.146927347779274
ann.wb 10,-157.16342977905273,0.146927347779274
ann.wb 10,-156.0706796142578,0.146927347779274
ann.wb 10,-154.9779294494629,0.146927347779274
ann.wb 10,-153.88517928466797,0.146927347779274
ann.wb 10,-152.79242911987305,0.146927347779274
ann.wb 10,-151.69967895507813,0.146927347779274
ann.wb 10,-150.6069287902832,0.146927347779274
ann.wb 10,-149.51417862548828,0.146927347779274
ann.wb 10,-148.42142846069336,0.146927347779274
ann.wb 10,-147.32867829589844,0.146927347779274
ann.wb 10,-146.23592813110352,0.146927347779274
ann.wb 10,-145.1431779663086,0.146927347779274
ann.wb 10,-144.05042780151368,0.146927347779274
ann.wb 10,-142.95767763671876,0.146927347779274
ann.wb 10,-141.86492747192383,0.146927347779274
ann.wb 10,-140.7721773071289,0.146927347779274
ann.wb 10,-139.679427142334,0.146927347779274
ann.wb 10,-138.58667697753907,0.146927347779274
ann.wb 10,-137.49392681274415,0.146927347779274
ann.wb 10,-136.40117664794923,0.146927347779274
ann.wb 10,-135.3084264831543,0.146927347779274
ann.wb 10,-134.21567631835939,0.146927347779274
ann.wb 10,-133.12292615356446,0.146927347779274
ann.wb 10,-132.03017598876954,0.146927347779274
ann.wb 10,-130.93742582397462,0.146927347779274
ann.wb 10,-129.8446756591797,0.146927347779274
ann.wb 10,-128.75192549438475,0.146927347779274
ann.wb 10,-127.65917532958986,0.146927347779274
ann.wb 10,-126.56642516479494,0.146927347779274
ann.wb 10,-125.47367500000001,0.146927347779274
ann.wb 10,-124.38092483520508,0.146927347779274
ann.wb 10,-123.28817467041016,0.146927347779274
ann.wb 10,-122.19542450561525,0.146927347779274
ann.wb 10,-121.10267434082033,0.146927347779274
ann.wb 10,-120.0099241760254,0.146927347779274
ann.wb 10,-118.91717401123047,0.146927347779274
ann.wb 10,-117.82442384643555,0.146927347779274
ann.wb 10,-116.73167368164064,0.146927347779274
ann.wb 10,-115.63892351684571,0.14753665886819362
ann.wb 10,-114.54617335205079,0.14814596995711327
ann.wb 10,-113.45342318725586,0.15000208877027035
ann.wb 10,-112.36067302246094,0.15185820758342744
ann.wb 10,-111.26792285766604,0.1537571996450424
ann.wb 10,-110.1751726928711,0.1556561917066574
ann.wb 10,-109.08242252807618,0.15759883411228656
ann.wb 10,-107.98967236328126,0.15954147651791573
ann.wb 10,-106.89692219848634,0.16152854822576046
ann.wb 10,-105.80417203369142,0.1635156199336052
ann.wb 10,-104.7114218688965,0.1655478898435831
ann.wb 10,-103.61867170410157,0.16758015975356103
ann.wb 10,-102.52592153930665,0.1696584213525057
ann.wb 10,-101.43317137451173,0.17173668295145034
ann.wb 10,-100.34042120971681,0.17386170625686645
ann.wb 10,-99.24767104492189,0.17598672956228256
ann.wb 10,-98.15492088012697,0.17815928757190705
ann.wb 10,-97.06217071533203,0.18033184558153154
ann.wb 10,-95.96942055053712,0.18255270421504974
ann.wb 10,-94.8766703857422,0.18477356284856797
ann.wb 10,-93.78392022094728,0.1870434932410717
ann.wb 10,-92.69117005615236,0.18931342363357545
ann.wb 10,-91.59841989135742,0.19163318276405336
ann.wb 10,-90.50566972656252,0.19395294189453124
ann.wb 10,-89.4129195617676,0.1963232770562172
ann.wb 10,-88.32016939697267,0.19869361221790313
ann.wb 10,-87.22741923217774,0.20111526995897297
ann.wb 10,-86.13466906738282,0.20353692770004272
ann.wb 10,-85.04191890258791,0.2060099229216575
ann.wb 10,-83.94916873779299,0.2084829181432724
ann.wb 10,-82.85641857299805,0.21100833266973495
ann.wb 10,-81.76366840820313,0.2135337471961975
ann.wb 10,-80.67091824340821,0.2161125957965851
ann.wb 10,-79.5781680786133,0.21869144439697266
ann.wb 10,-78.48541791381837,0.22132440730929376
ann.wb 10,-77.39266774902345,0.22395737022161483
ann.wb 10,-76.29991758422852,0.22664511799812317
ann.wb 10,-75.2071674194336,0.2293328657746315
ann.wb 10,-74.11441725463868,0.23207604587078096
ann.wb 10,-73.02166708984376,0.2348192259669304
ann.wb 10,-71.92891692504884,0.23761847019195556
ann.wb 10,-70.83616676025392,0.24041771441698073
ann.wb 10,-69.743416595459,0.24327362850308418
ann.wb 10,-68.65066643066407,0.24612954258918762
ann.wb 10,-67.55791626586915,0.24904270246624946
ann.wb 10,-66.46516610107423,0.2519558623433113
ann.wb 10,-65.37241593627931,0.25492682307958603
ann.wb 10,-64.27966577148439,0.25789778381586076
ann.wb 10,-63.18691560668947,0.2609270520508289
ann.wb 10,-62.09416544189452,0.26395632028579713
ann.wb 10,-61.001415277099625,0.2670443974435329
ann.wb 10,-59.9086651123047,0.27013247460126877
ann.wb 10,-58.81591494750978,0.27327980399131774
ann.wb 10,-57.72316478271486,0.2764271333813667
ann.wb 10,-56.63041461791991,0.27963411733508114
ann.wb 10,-55.53766445312502,0.28284110128879547
ann.wb 10,-54.4449142883301,0.28610812649130823
ann.wb 10,-53.352164123535175,0.28937515169382094
ann.wb 10,-52.259413958740254,0.2927025251090526
ann.wb 10,-51.166663793945304,0.29602989852428435
ann.wb 10,-50.07391362915041,0.2994179025292396
ann.wb 10,-48.98116346435549,0.3028059065341949
ann.wb 10,-47.88841329956054,0.30625476092100146
ann.wb 10,-46.79566313476565,0.30970361530780793
ann.wb 10,-45.7029129699707,0.3132134824991227
ann.wb 10,-44.610162805175804,0.3167233496904373
ann.wb 10,-43.51741264038088,0.32029435783624643
ann.wb 10,-42.42466247558593,0.3238653659820557
ann.wb 10,-41.33191231079104,0.3274975553154945
ann.wb 10,-40.23916214599609,0.3311297446489334
ann.wb 10,-39.1464119812012,0.334823103249073
ann.wb 10,-38.053661816406276,0.33851646184921264
ann.wb 10,-36.960911651611326,0.34227090328931814
ann.wb 10,-35.86816148681643,0.34602534472942353
ann.wb 10,-34.77541132202148,0.3498407050967217
ann.wb 10,-33.68266115722656,0.3536560654640198
ann.wb 10,-32.58991099243167,0.35753213167190545
ann.wb 10,-31.49716082763672,0.3614081978797913
